iter	RMSE
0	0.2882803514
1	0.2856381375
2	0.2836138611
3	0.2816248529
4	0.279091782
5	0.2776357353
6	0.275551909
7	0.2734544482
8	0.2710112621
9	0.2689902308
10	0.2669543324
11	0.2653714404
12	0.2635077278
13	0.2614617264
14	0.2606252128
15	0.2579727
16	0.2560808384
17	0.2536015558
18	0.2519219991
19	0.2499363395
20	0.2485358103
21	0.2471097084
22	0.2460384933
23	0.2440629278
24	0.2422773801
25	0.2402548723
26	0.2382959719
27	0.2361071453
28	0.2349589073
29	0.233641624
30	0.2323499475
31	0.2312156747
32	0.2294581436
33	0.2276180234
34	0.2263135019
35	0.224498911
36	0.223047034
37	0.2213143777
38	0.2199672856
39	0.2183072806
40	0.216691317
41	0.2156390252
42	0.2141255599
43	0.2124708923
44	0.2107054292
45	0.2088190278
46	0.2075278516
47	0.2065949085
48	0.205350042
49	0.2039387762
50	0.2027779033
51	0.2008776487
52	0.1995928826
53	0.1982142651
54	0.197241707
55	0.1963398984
56	0.1951418137
57	0.1939672878
58	0.1931588479
59	0.1922536549
60	0.1913362234
61	0.1906032097
62	0.1898434276
63	0.1884972317
64	0.1873256394
65	0.1861048329
66	0.1843291148
67	0.1826959972
68	0.1818188458
69	0.1810003331
70	0.1801681792
71	0.1794629107
72	0.1778288069
73	0.1764198561
74	0.17555492
75	0.1743256246
76	0.1731470359
77	0.1716267231
78	0.170504529
79	0.1692743725
80	0.1686390166
81	0.1676454515
82	0.166242038
83	0.1652615961
84	0.1642239717
85	0.163389548
86	0.1624188491
87	0.1610872677
88	0.1605080299
89	0.1594038296
90	0.1584123376
91	0.1575361217
92	0.1563274282
93	0.1552633346
94	0.1547547962
95	0.1538248765
96	0.1530067124
97	0.1521367783
98	0.1510530498
99	0.1501547199
100	0.1494468948
101	0.1485175462
102	0.1477476598
103	0.1464577677
104	0.1452666763
105	0.1446704957
106	0.1440113171
107	0.1431747926
108	0.1423094575
109	0.1414175374
110	0.1405239243
111	0.1397383319
112	0.1386474561
113	0.1376996853
114	0.1371143195
115	0.1363755288
116	0.1354728245
117	0.1344099103
118	0.1337283053
119	0.1331070424
120	0.1324508344
121	0.1318188659
122	0.1308223401
123	0.13015535
124	0.1295479463
125	0.1286405095
126	0.1281930261
127	0.1274584597
128	0.1271271718
129	0.1262755764
130	0.125452798
131	0.1245766746
132	0.1238015706
133	0.1229020042
134	0.1221852769
135	0.1214235399
136	0.1208957732
137	0.1201631934
138	0.1196609238
139	0.1187697841
140	0.1179647192
141	0.117445837
142	0.116891591
143	0.1163055349
144	0.1154978363
145	0.1149006066
146	0.114131013
147	0.1135404636
148	0.1129933733
149	0.1125193339
150	0.1119467416
151	0.1110533803
152	0.1105086155
153	0.1099553478
154	0.1091732631
155	0.1083546316
156	0.107744445
157	0.107119337
158	0.1066318231
159	0.1061278183
160	0.1056158854
161	0.1050444556
162	0.1042661145
163	0.1035555409
164	0.1030402185
165	0.1025713483
166	0.102099943
167	0.1013298212
168	0.1008791238
169	0.1001568936
170	0.09948327836
171	0.09878072681
172	0.0983567743
173	0.09757020091
174	0.09695806961
175	0.09634643445
176	0.09563967246
177	0.09496245959
178	0.09438643704
179	0.09395571396
180	0.09361111967
181	0.09307941539
182	0.09264910715
183	0.09207060484
184	0.09166761464
185	0.09097590909
186	0.09046550893
187	0.08979421524
188	0.0892454338
189	0.08906232856
190	0.08876537671
191	0.08826509787
192	0.08756734048
193	0.08726516742
194	0.08685256382
195	0.08655589609
196	0.08623416939
197	0.08588439045
198	0.08549742301
199	0.08495979877
200	0.08458506745
201	0.0840250515
202	0.0836748248
203	0.08335361238
204	0.08285551973
205	0.08271704537
206	0.08248747213
207	0.08194008473
208	0.08144997471
209	0.08098277387
210	0.08052213856
211	0.08010939685
212	0.0797437178
213	0.07924420918
214	0.07887433729
215	0.0785184138
216	0.07812584734
217	0.07760496407
218	0.0772910335
219	0.07694179043
220	0.07644871903
221	0.07611013233
222	0.07576201564
223	0.07529125526
224	0.07488358443
225	0.07442506713
226	0.0739173364
227	0.07358611326
228	0.07299141505
229	0.07261650661
230	0.07232415878
231	0.07198834942
232	0.07165397676
233	0.07140258652
234	0.07103593471
235	0.07070922949
236	0.07032304472
237	0.0699132345
238	0.06959380692
239	0.06931572199
