iter	Passed	Remaining
401	13764	20475
402	13795	20435
403	13826	20396
404	13857	20358
405	13887	20317
406	13918	20279
407	13953	20246
408	13991	20217
409	14033	20194
410	14066	20157
411	14097	20119
412	14128	20080
413	14158	20040
414	14187	19999
415	14218	19961
416	14250	19922
417	14280	19884
418	14313	19847
419	14359	19829
420	14398	19802
421	14430	19765
422	14462	19727
423	14493	19689
424	14523	19650
425	14554	19611
426	14584	19571
427	14615	19532
428	14646	19494
429	14679	19458
430	14722	19435
431	14759	19406
432	14794	19372
433	14825	19334
434	14856	19296
435	14886	19256
436	14916	19217
437	14950	19182
438	15022	19197
439	15066	19175
440	15101	19141
441	15117	19084
442	15146	19044
443	15177	19006
444	15208	18968
445	15239	18929
446	15269	18889
447	15300	18852
448	15332	18815
449	15366	18781
450	15412	18761
451	15450	18732
452	15484	18697
453	15515	18660
454	15546	18621
455	15576	18582
456	15607	18544
457	15638	18506
458	15668	18468
459	15699	18429
460	15735	18397
461	15782	18378
462	15822	18350
463	15856	18316
464	15888	18279
465	15919	18242
466	15957	18212
467	15992	18179
468	16024	18142
469	16054	18104
470	16084	18065
471	16115	18027
472	16146	17990
473	16177	17951
474	16207	17913
475	16238	17876
476	16280	17850
477	16320	17822
478	16360	17795
479	16392	17758
480	16422	17719
481	16453	17682
482	16456	17615
483	16487	17577
484	16518	17540
485	16549	17503
486	16580	17465
487	16611	17427
488	16643	17391
489	16677	17358
490	16720	17333
491	16761	17306
492	16799	17276
493	16829	17238
494	16859	17200
495	16890	17162
496	16920	17124
497	16956	17092
498	16994	17062
499	17024	17024
500	17054	16986
501	17085	16949
502	17117	16913
503	17147	16875
504	17178	16838
505	17209	16801
506	17240	16764
507	17273	16729
508	17283	16672
509	17327	16647
510	17368	16620
511	17388	16573
512	17421	16538
513	17452	16502
514	17483	16465
515	17516	16429
516	17546	16392
517	17577	16355
518	17607	16317
519	17636	16280
520	17670	16245
521	17715	16221
522	17752	16191
523	17785	16155
524	17816	16119
525	17847	16083
526	17877	16045
527	17908	16009
528	17947	15979
529	17986	15950
530	18017	15914
531	18049	15878
532	18080	15841
533	18110	15803
534	18140	15766
535	18170	15729
536	18201	15693
537	18231	15656
538	18265	15622
539	18304	15592
540	18343	15562
541	18381	15532
542	18418	15501
543	18450	15466
544	18480	15429
545	18511	15392
546	18541	15355
547	18572	15318
548	18603	15282
549	18633	15245
550	18665	15209
551	18705	15181
